[server][info] Running client on level: ../levels/SAfriendofBFS.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Starting best-first search using greedy evaluation.
#Explored:  430,000, #Frontier:  738,246, #Generated: 1,168,246, Time: 8.593 s
[Used: 870.72 MB, Free: 3219.28 MB, Alloc: 4090.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  440,000, #Frontier:  752,571, #Generated: 1,192,571, Time: 8.893 s
[Used: 763.72 MB, Free: 4258.28 MB, Alloc: 5022.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  450,000, #Frontier:  767,564, #Generated: 1,217,564, Time: 9.084 s
[Used: 818.72 MB, Free: 4203.28 MB, Alloc: 5022.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  460,000, #Frontier:  782,519, #Generated: 1,242,519, Time: 9.282 s
[Used: 866.72 MB, Free: 4155.28 MB, Alloc: 5022.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  470,000, #Frontier:  796,450, #Generated: 1,266,450, Time: 9.592 s
[Used: 923.72 MB, Free: 4098.28 MB, Alloc: 5022.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  480,000, #Frontier:  810,357, #Generated: 1,290,357, Time: 9.803 s
[Used: 970.72 MB, Free: 4051.28 MB, Alloc: 5022.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  490,000, #Frontier:  825,194, #Generated: 1,315,194, Time: 10.151 s
[Used: 861.72 MB, Free: 4160.28 MB, Alloc: 5022.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  500,000, #Frontier:  839,867, #Generated: 1,339,867, Time: 10.326 s
[Used: 909.72 MB, Free: 4112.28 MB, Alloc: 5022.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  510,000, #Frontier:  854,907, #Generated: 1,364,907, Time: 10.492 s
[Used: 958.72 MB, Free: 4063.28 MB, Alloc: 5022.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  520,000, #Frontier:  868,356, #Generated: 1,388,356, Time: 10.640 s
[Used: 1005.72 MB, Free: 4016.28 MB, Alloc: 5022.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  530,000, #Frontier:  882,468, #Generated: 1,412,468, Time: 10.787 s
[Used: 1052.72 MB, Free: 3969.28 MB, Alloc: 5022.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  540,000, #Frontier:  896,267, #Generated: 1,436,267, Time: 10.980 s
[Used: 1100.72 MB, Free: 3921.28 MB, Alloc: 5022.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  550,000, #Frontier:  910,850, #Generated: 1,460,850, Time: 11.318 s
[Used: 971.72 MB, Free: 4050.28 MB, Alloc: 5022.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  560,000, #Frontier:  924,156, #Generated: 1,484,156, Time: 11.475 s
[Used: 1018.72 MB, Free: 4003.28 MB, Alloc: 5022.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  570,000, #Frontier:  937,395, #Generated: 1,507,395, Time: 11.643 s
[Used: 1065.72 MB, Free: 3956.28 MB, Alloc: 5022.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  580,000, #Frontier:  951,204, #Generated: 1,531,204, Time: 11.803 s
[Used: 1112.72 MB, Free: 3909.28 MB, Alloc: 5022.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  590,000, #Frontier:  964,324, #Generated: 1,554,324, Time: 11.963 s
[Used: 1159.72 MB, Free: 3862.28 MB, Alloc: 5022.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  600,000, #Frontier:  978,416, #Generated: 1,578,416, Time: 12.294 s
[Used: 1012.72 MB, Free: 4009.28 MB, Alloc: 5022.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  610,000, #Frontier:  992,728, #Generated: 1,602,728, Time: 12.487 s
[Used: 1060.72 MB, Free: 3961.28 MB, Alloc: 5022.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  620,000, #Frontier: 1,005,569, #Generated: 1,625,569, Time: 12.630 s
[Used: 1106.72 MB, Free: 3915.28 MB, Alloc: 5022.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  630,000, #Frontier: 1,018,715, #Generated: 1,648,715, Time: 12.813 s
[Used: 1154.72 MB, Free: 3867.28 MB, Alloc: 5022.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  640,000, #Frontier: 1,031,137, #Generated: 1,671,137, Time: 12.964 s
[Used: 1200.72 MB, Free: 3821.28 MB, Alloc: 5022.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  650,000, #Frontier: 1,043,127, #Generated: 1,693,127, Time: 13.126 s
[Used: 1246.72 MB, Free: 3775.28 MB, Alloc: 5022.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  660,000, #Frontier: 1,055,133, #Generated: 1,715,133, Time: 13.463 s
[Used: 1115.72 MB, Free: 4540.28 MB, Alloc: 5656.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  670,000, #Frontier: 1,067,630, #Generated: 1,737,630, Time: 13.664 s
[Used: 1161.72 MB, Free: 4494.28 MB, Alloc: 5656.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  680,000, #Frontier: 1,080,285, #Generated: 1,760,285, Time: 13.901 s
[Used: 1208.72 MB, Free: 4447.28 MB, Alloc: 5656.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  690,000, #Frontier: 1,093,389, #Generated: 1,783,389, Time: 14.137 s
[Used: 1255.72 MB, Free: 4400.28 MB, Alloc: 5656.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  700,000, #Frontier: 1,106,630, #Generated: 1,806,630, Time: 14.366 s
[Used: 1302.72 MB, Free: 4353.28 MB, Alloc: 5656.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  710,000, #Frontier: 1,118,469, #Generated: 1,828,469, Time: 14.598 s
[Used: 1348.72 MB, Free: 4307.28 MB, Alloc: 5656.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  720,000, #Frontier: 1,131,047, #Generated: 1,851,047, Time: 14.954 s
[Used: 1196.72 MB, Free: 4459.28 MB, Alloc: 5656.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  730,000, #Frontier: 1,143,588, #Generated: 1,873,588, Time: 15.133 s
[Used: 1251.72 MB, Free: 4404.28 MB, Alloc: 5656.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  740,000, #Frontier: 1,155,881, #Generated: 1,895,881, Time: 15.313 s
[Used: 1297.72 MB, Free: 4358.28 MB, Alloc: 5656.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  750,000, #Frontier: 1,168,047, #Generated: 1,918,047, Time: 15.493 s
