[server][info] Running client on level: ../levels/SAsoko2_64.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Starting best-first search using A* evaluation.
[Used: 5396.72 MB, Free: 2795.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  480,000, #Frontier:   42,463, #Generated:  522,463, Time: 121.824 s
[Used: 5516.72 MB, Free: 2675.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  490,000, #Frontier:   43,898, #Generated:  533,898, Time: 124.448 s
[Used: 5695.72 MB, Free: 2496.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  500,000, #Frontier:   43,567, #Generated:  543,567, Time: 127.008 s
[Used: 5775.72 MB, Free: 2416.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  510,000, #Frontier:   45,196, #Generated:  555,196, Time: 129.343 s
[Used: 5820.72 MB, Free: 2371.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  520,000, #Frontier:   44,589, #Generated:  564,589, Time: 131.904 s
[Used: 5897.72 MB, Free: 2294.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  530,000, #Frontier:   47,148, #Generated:  577,148, Time: 134.746 s
[Used: 6451.72 MB, Free: 1740.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  540,000, #Frontier:   47,183, #Generated:  587,183, Time: 137.694 s
[Used: 6455.72 MB, Free: 1736.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  550,000, #Frontier:   46,162, #Generated:  596,162, Time: 140.348 s
[Used: 6402.72 MB, Free: 1789.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  560,000, #Frontier:   48,106, #Generated:  608,106, Time: 142.965 s
[Used: 6403.72 MB, Free: 1788.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  570,000, #Frontier:   49,555, #Generated:  619,555, Time: 145.684 s
[Used: 6424.72 MB, Free: 1767.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  580,000, #Frontier:   50,675, #Generated:  630,675, Time: 148.444 s
[Used: 6978.72 MB, Free: 1213.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  590,000, #Frontier:   50,430, #Generated:  640,430, Time: 151.061 s
[Used: 7046.72 MB, Free: 1145.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  600,000, #Frontier:   49,363, #Generated:  649,363, Time: 153.728 s
[Used: 6733.72 MB, Free: 1458.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  610,000, #Frontier:   50,415, #Generated:  660,415, Time: 156.138 s
[Used: 6935.72 MB, Free: 1256.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  620,000, #Frontier:   53,460, #Generated:  673,460, Time: 158.550 s
[Used: 7191.72 MB, Free: 1000.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  630,000, #Frontier:   55,236, #Generated:  685,236, Time: 161.232 s
[Used: 7195.72 MB, Free: 996.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  640,000, #Frontier:   54,749, #Generated:  694,749, Time: 164.445 s
[Used: 7472.72 MB, Free: 719.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  650,000, #Frontier:   52,945, #Generated:  702,945, Time: 168.094 s
[Used: 7432.72 MB, Free: 759.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  660,000, #Frontier:   53,215, #Generated:  713,215, Time: 171.696 s
[Used: 7402.72 MB, Free: 789.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  670,000, #Frontier:   56,613, #Generated:  726,613, Time: 174.241 s
[Used: 7687.72 MB, Free: 504.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  680,000, #Frontier:   58,864, #Generated:  738,864, Time: 176.747 s
[Used: 7694.72 MB, Free: 497.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  690,000, #Frontier:   59,293, #Generated:  749,293, Time: 179.414 s
[Used: 7974.72 MB, Free: 217.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
[client][info] Client timed out.
[client][info] Sending termination signal to client process (PID = 94212).
[client][info] Forcibly terminating client process.
[client][warning] Client process not terminated. PID = 94212.
[server][info] Level solved: No.
[server][info] Actions used: 0.
[server][info] Last action time: 0.000 seconds.
