[server][info] Running client on level: ../levels/SACrunch.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Starting best-first search using greedy evaluation.
#Explored:  520,000, #Frontier:  377,249, #Generated:  897,249, Time: 19.229 s
[Used: 516.72 MB, Free: 1867.28 MB, Alloc: 2384.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  530,000, #Frontier:  384,444, #Generated:  914,444, Time: 20.205 s
[Used: 550.72 MB, Free: 1833.28 MB, Alloc: 2384.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  540,000, #Frontier:  390,505, #Generated:  930,505, Time: 20.866 s
[Used: 584.72 MB, Free: 1799.28 MB, Alloc: 2384.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  550,000, #Frontier:  397,017, #Generated:  947,017, Time: 21.786 s
[Used: 623.72 MB, Free: 1760.28 MB, Alloc: 2384.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  560,000, #Frontier:  403,786, #Generated:  963,786, Time: 22.308 s
[Used: 560.72 MB, Free: 3043.28 MB, Alloc: 3604.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  570,000, #Frontier:  409,821, #Generated:  979,821, Time: 22.430 s
[Used: 593.72 MB, Free: 3010.28 MB, Alloc: 3604.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  580,000, #Frontier:  414,554, #Generated:  994,554, Time: 22.545 s
[Used: 625.72 MB, Free: 2978.28 MB, Alloc: 3604.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  590,000, #Frontier:  420,676, #Generated: 1,010,676, Time: 22.745 s
[Used: 658.72 MB, Free: 2945.28 MB, Alloc: 3604.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  600,000, #Frontier:  426,608, #Generated: 1,026,608, Time: 22.882 s
[Used: 691.72 MB, Free: 2912.28 MB, Alloc: 3604.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  610,000, #Frontier:  430,550, #Generated: 1,040,550, Time: 23.059 s
[Used: 603.72 MB, Free: 3000.28 MB, Alloc: 3604.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  620,000, #Frontier:  436,325, #Generated: 1,056,325, Time: 23.219 s
[Used: 636.72 MB, Free: 2967.28 MB, Alloc: 3604.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  630,000, #Frontier:  441,197, #Generated: 1,071,197, Time: 23.451 s
[Used: 668.72 MB, Free: 2935.28 MB, Alloc: 3604.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  640,000, #Frontier:  448,933, #Generated: 1,088,933, Time: 23.675 s
[Used: 703.72 MB, Free: 2900.28 MB, Alloc: 3604.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  650,000, #Frontier:  455,678, #Generated: 1,105,678, Time: 23.892 s
[Used: 737.72 MB, Free: 2866.28 MB, Alloc: 3604.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  660,000, #Frontier:  460,717, #Generated: 1,120,717, Time: 24.183 s
[Used: 639.72 MB, Free: 2964.28 MB, Alloc: 3604.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  670,000, #Frontier:  467,110, #Generated: 1,137,110, Time: 24.346 s
[Used: 673.72 MB, Free: 2930.28 MB, Alloc: 3604.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  680,000, #Frontier:  472,141, #Generated: 1,152,141, Time: 24.519 s
[Used: 706.72 MB, Free: 2897.28 MB, Alloc: 3604.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  690,000, #Frontier:  477,391, #Generated: 1,167,391, Time: 24.684 s
[Used: 738.72 MB, Free: 2865.28 MB, Alloc: 3604.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  700,000, #Frontier:  482,049, #Generated: 1,182,049, Time: 24.783 s
[Used: 770.72 MB, Free: 2833.28 MB, Alloc: 3604.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  710,000, #Frontier:  485,621, #Generated: 1,195,621, Time: 24.908 s
[Used: 801.72 MB, Free: 2802.28 MB, Alloc: 3604.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  720,000, #Frontier:  491,573, #Generated: 1,211,573, Time: 25.161 s
[Used: 703.72 MB, Free: 2900.28 MB, Alloc: 3604.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  730,000, #Frontier:  495,198, #Generated: 1,225,198, Time: 25.320 s
[Used: 734.72 MB, Free: 2869.28 MB, Alloc: 3604.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  740,000, #Frontier:  499,969, #Generated: 1,239,969, Time: 25.478 s
[Used: 768.72 MB, Free: 2835.28 MB, Alloc: 3604.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  750,000, #Frontier:  504,616, #Generated: 1,254,616, Time: 25.633 s
[Used: 801.72 MB, Free: 2802.28 MB, Alloc: 3604.00 MB, MaxAlloc: 8192.00 MB]
