[server][info] Running client on level: ../levels/SACrunch.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Starting best-first search using A* evaluation.
#Explored:  500,000, #Frontier:   99,791, #Generated:  599,791, Time: 40.623 s
[Used: 1779.22 MB, Free: 930.78 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  510,000, #Frontier:  100,860, #Generated:  610,860, Time: 41.787 s
[Used: 731.72 MB, Free: 2198.28 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  520,000, #Frontier:  101,940, #Generated:  621,940, Time: 42.593 s
[Used: 1199.72 MB, Free: 1730.28 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  530,000, #Frontier:  102,277, #Generated:  632,277, Time: 43.257 s
[Used: 1645.72 MB, Free: 1284.28 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  540,000, #Frontier:  104,072, #Generated:  644,072, Time: 44.096 s
[Used: 482.52 MB, Free: 2447.48 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  550,000, #Frontier:  106,225, #Generated:  656,225, Time: 44.950 s
[Used: 890.52 MB, Free: 2039.48 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  560,000, #Frontier:  107,015, #Generated:  667,015, Time: 45.710 s
[Used: 1284.52 MB, Free: 1645.48 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  570,000, #Frontier:  108,516, #Generated:  678,516, Time: 46.438 s
[Used: 1689.52 MB, Free: 1240.48 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  580,000, #Frontier:  111,120, #Generated:  691,120, Time: 47.380 s
[Used: 514.56 MB, Free: 2415.44 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  590,000, #Frontier:  111,946, #Generated:  701,946, Time: 47.914 s
[Used: 899.56 MB, Free: 2030.44 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  600,000, #Frontier:  113,091, #Generated:  713,091, Time: 48.516 s
[Used: 1313.56 MB, Free: 1616.44 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  610,000, #Frontier:  113,934, #Generated:  723,934, Time: 49.804 s
[Used: 1775.56 MB, Free: 1154.44 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  620,000, #Frontier:  115,343, #Generated:  735,343, Time: 50.672 s
[Used: 567.53 MB, Free: 2362.47 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  630,000, #Frontier:  116,242, #Generated:  746,242, Time: 51.375 s
[Used: 962.52 MB, Free: 1967.48 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  640,000, #Frontier:  118,394, #Generated:  758,394, Time: 51.974 s
[Used: 1368.52 MB, Free: 1561.48 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  650,000, #Frontier:  119,655, #Generated:  769,655, Time: 52.444 s
[Used: 1769.53 MB, Free: 1160.47 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  660,000, #Frontier:  120,503, #Generated:  780,503, Time: 53.124 s
[Used: 573.63 MB, Free: 2356.37 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  670,000, #Frontier:  122,026, #Generated:  792,026, Time: 53.752 s
[Used: 984.63 MB, Free: 1945.37 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  680,000, #Frontier:  124,248, #Generated:  804,248, Time: 54.282 s
[Used: 1389.63 MB, Free: 1540.37 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  690,000, #Frontier:  124,798, #Generated:  814,798, Time: 54.966 s
[Used: 1768.63 MB, Free: 1161.37 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  700,000, #Frontier:  125,824, #Generated:  825,824, Time: 55.794 s
[Used: 557.72 MB, Free: 2372.28 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  710,000, #Frontier:  126,424, #Generated:  836,424, Time: 56.232 s
[Used: 983.72 MB, Free: 1946.28 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  720,000, #Frontier:  127,991, #Generated:  847,991, Time: 56.729 s
[Used: 1396.72 MB, Free: 1533.28 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  730,000, #Frontier:  128,908, #Generated:  858,908, Time: 57.267 s
[Used: 1794.72 MB, Free: 1135.28 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  740,000, #Frontier:  129,781, #Generated:  869,781, Time: 57.885 s
[Used: 582.72 MB, Free: 2347.28 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  750,000, #Frontier:  132,343, #Generated:  882,343, Time: 58.564 s
[Used: 1048.72 MB, Free: 1881.28 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  760,000, #Frontier:  134,337, #Generated:  894,337, Time: 59.204 s
[Used: 1545.72 MB, Free: 1384.28 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  770,000, #Frontier:  134,491, #Generated:  904,491, Time: 59.738 s
[Used: 2029.72 MB, Free: 900.28 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  780,000, #Frontier:  135,142, #Generated:  915,142, Time: 61.207 s
[Used: 591.72 MB, Free: 2338.28 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  790,000, #Frontier:  137,612, #Generated:  927,612, Time: 61.922 s
[Used: 1117.72 MB, Free: 1812.28 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  800,000, #Frontier:  139,187, #Generated:  939,187, Time: 62.559 s
[Used: 753.72 MB, Free: 2176.28 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  810,000, #Frontier:  142,279, #Generated:  952,279, Time: 63.052 s
[Used: 1231.72 MB, Free: 1698.28 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  820,000, #Frontier:  144,680, #Generated:  964,680, Time: 63.557 s
[Used: 632.72 MB, Free: 2297.28 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  830,000, #Frontier:  145,331, #Generated:  975,331, Time: 64.060 s
[Used: 1128.72 MB, Free: 1801.28 MB, Alloc: 2930.00 MB, MaxAlloc: 8192.00 MB]
