[server][info] Running client on level: ../levels/SAFirefly.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Defaulting to BFS search. Use arguments -bfs, -dfs, -astar, -wastar, or -greedy to set the search strategy.
Starting breadth-first search.
#Explored:  640,000, #Frontier:  121,861, #Generated:  761,861, Time: 6.260 s
[Used: 871.72 MB, Free: 2864.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  650,000, #Frontier:  124,944, #Generated:  774,944, Time: 6.347 s
[Used: 921.72 MB, Free: 2814.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  660,000, #Frontier:  128,155, #Generated:  788,155, Time: 6.430 s
[Used: 971.72 MB, Free: 2764.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  670,000, #Frontier:  130,354, #Generated:  800,354, Time: 6.500 s
[Used: 1011.72 MB, Free: 2724.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  680,000, #Frontier:  132,766, #Generated:  812,766, Time: 6.580 s
[Used: 1051.72 MB, Free: 2684.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  690,000, #Frontier:  135,159, #Generated:  825,159, Time: 6.798 s
[Used: 841.72 MB, Free: 2894.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  700,000, #Frontier:  137,523, #Generated:  837,523, Time: 6.878 s
[Used: 881.72 MB, Free: 2854.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  710,000, #Frontier:  140,351, #Generated:  850,351, Time: 6.957 s
[Used: 921.72 MB, Free: 2814.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  720,000, #Frontier:  143,215, #Generated:  863,215, Time: 7.039 s
[Used: 963.72 MB, Free: 2772.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  730,000, #Frontier:  145,636, #Generated:  875,636, Time: 7.116 s
[Used: 1003.72 MB, Free: 2732.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  740,000, #Frontier:  147,700, #Generated:  887,700, Time: 7.187 s
