[server][info] Running client on level: ../levels/SAsoko3_08.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Defaulting to BFS search. Use arguments -bfs, -dfs, -astar, -wastar, or -greedy to set the search strategy.
Starting breadth-first search.
#Explored:  450,000, #Frontier:  995,015, #Generated: 1,445,015, Time: 25.851 s
[Used: 1112.72 MB, Free: 2091.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  460,000, #Frontier: 1,012,279, #Generated: 1,472,279, Time: 26.168 s
[Used: 1173.72 MB, Free: 2030.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  470,000, #Frontier: 1,031,651, #Generated: 1,501,651, Time: 26.732 s
[Used: 1236.72 MB, Free: 1967.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  480,000, #Frontier: 1,048,063, #Generated: 1,528,063, Time: 27.313 s
[Used: 1297.72 MB, Free: 1906.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  490,000, #Frontier: 1,065,749, #Generated: 1,555,749, Time: 28.068 s
[Used: 1145.72 MB, Free: 2058.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  500,000, #Frontier: 1,081,745, #Generated: 1,581,745, Time: 28.709 s
[Used: 1204.72 MB, Free: 1999.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  510,000, #Frontier: 1,096,591, #Generated: 1,606,591, Time: 29.313 s
[Used: 1264.72 MB, Free: 1939.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  520,000, #Frontier: 1,109,670, #Generated: 1,629,670, Time: 29.929 s
[Used: 1322.72 MB, Free: 1881.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  530,000, #Frontier: 1,131,027, #Generated: 1,661,027, Time: 30.804 s
[Used: 1393.72 MB, Free: 1810.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  540,000, #Frontier: 1,153,589, #Generated: 1,693,589, Time: 31.844 s
[Used: 1240.72 MB, Free: 1963.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  550,000, #Frontier: 1,172,471, #Generated: 1,722,471, Time: 32.912 s
[Used: 1302.72 MB, Free: 1901.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  560,000, #Frontier: 1,189,374, #Generated: 1,749,374, Time: 33.853 s
[Used: 1364.72 MB, Free: 1839.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  570,000, #Frontier: 1,210,933, #Generated: 1,780,933, Time: 34.736 s
[Used: 1427.72 MB, Free: 1776.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  580,000, #Frontier: 1,227,412, #Generated: 1,807,412, Time: 36.020 s
[Used: 1488.72 MB, Free: 1715.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  590,000, #Frontier: 1,242,363, #Generated: 1,832,363, Time: 36.655 s
[Used: 1548.72 MB, Free: 1655.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  600,000, #Frontier: 1,261,717, #Generated: 1,861,717, Time: 37.429 s
[Used: 1378.72 MB, Free: 1825.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  610,000, #Frontier: 1,278,027, #Generated: 1,888,027, Time: 37.989 s
[Used: 1439.72 MB, Free: 1764.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  620,000, #Frontier: 1,291,999, #Generated: 1,911,999, Time: 38.436 s
[Used: 1498.72 MB, Free: 1705.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  630,000, #Frontier: 1,305,884, #Generated: 1,935,884, Time: 39.050 s
[Used: 1557.72 MB, Free: 1646.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  640,000, #Frontier: 1,320,949, #Generated: 1,960,949, Time: 39.946 s
[Used: 1617.72 MB, Free: 1586.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  650,000, #Frontier: 1,339,340, #Generated: 1,989,340, Time: 41.056 s
[Used: 1428.72 MB, Free: 1775.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  660,000, #Frontier: 1,356,278, #Generated: 2,016,278, Time: 41.866 s
[Used: 1488.72 MB, Free: 1715.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
